word	synsets
снестись_VERB	["116173-V", "116100-V"]
снести_VERB	["116173-V", "116100-V"]
откладывать::яйца_VERB	["116173-V", "116100-V"]
нестись_VERB	["116173-V", "116100-V"]
нести::яйца_VERB	["116173-V", "116100-V"]
снести::яйцо_VERB	["116173-V", "116100-V"]
саднить_VERB	["106915-V", "120185-V"]
свербеть_VERB	["106915-V", "120185-V"]
щекотать_VERB	["106915-V", "120185-V"]
зачесаться_VERB	["106915-V", "120185-V"]
чесаться_VERB	["106915-V", "120185-V"]
продвигать::на::рынок_VERB	["106686-V", "106709-V", "106898-V", "106897-V"]
продвигать::товар_VERB	["106686-V", "106709-V", "106898-V", "106897-V"]
продвигать::на::рынок_VERB	["141310-V", "147492-V", "1885-V"]
продвигать::товар_VERB	["141310-V", "147492-V", "1885-V"]
ушить_VERB	["106638-V", "127237-V"]
ушивать_VERB	["106638-V", "127237-V"]
ушить_VERB	["110801-V", "116817-V"]
ушивать_VERB	["110801-V", "116817-V"]
выходить::в::эфир_VERB	["1374-V", "113973-V", "110447-V"]
выйти::в::эфир_VERB	["1374-V", "113973-V", "110447-V"]
сводить_VERB	["111627-V", "110447-V", "107005-V", "111623-V", "111619-V", "111626-V"]
переводить_VERB	["111627-V", "110447-V", "107005-V", "111623-V", "111619-V", "111626-V"]
перевести_VERB	["111627-V", "110447-V", "107005-V", "111623-V", "111619-V", "111626-V"]
свести_VERB	["111627-V", "110447-V", "107005-V", "111623-V", "111619-V", "111626-V"]
проанализировать::информацию_VERB	["106686-V", "106898-V", "106897-V"]
анализировать::данные_VERB	["106686-V", "106898-V", "106897-V"]
анализировать::информацию_VERB	["106686-V", "106898-V", "106897-V"]
проанализировать::данные_VERB	["106686-V", "106898-V", "106897-V"]
проанализировать::информацию_VERB	["145152-V", "106534-V"]
анализировать::данные_VERB	["145152-V", "106534-V"]
анализировать::информацию_VERB	["145152-V", "106534-V"]
проанализировать::данные_VERB	["145152-V", "106534-V"]
кодифицировать_VERB	["120139-V", "118456-V", "107129-V"]
кодифицировать_VERB	["118746-V", "148396-V"]
бороться::с::коррозией_VERB	["110437-V", "140492-V", "111437-V"]
бороться::с::коррозией_VERB	["106713-V", "106714-V"]
захеджировать_VERB	["126259-V", "150985-V"]
хеджировать_VERB	["126259-V", "150985-V"]
захеджировать_VERB	["118698-V"]
хеджировать_VERB	["118698-V"]
захеджировать_VERB	["148420-V", "144027-V"]
хеджировать_VERB	["148420-V", "144027-V"]
захеджировать_VERB	["110437-V", "140492-V", "111437-V"]
хеджировать_VERB	["110437-V", "140492-V", "111437-V"]
экранировать_VERB	["110437-V", "140492-V", "111437-V"]
мигать_VERB	["118639-V", "106587-V", "119502-V"]
подмигивать_VERB	["118639-V", "106587-V", "119502-V"]
подмигнуть_VERB	["118639-V", "106587-V", "119502-V"]
подморгнуть_VERB	["118639-V", "106587-V", "119502-V"]
мигнуть_VERB	["118639-V", "106587-V", "119502-V"]
подмаргивать_VERB	["118639-V", "106587-V", "119502-V"]
мигать_VERB	["106938-V", "117094-V"]
подмигивать_VERB	["106938-V", "117094-V"]
подмигнуть_VERB	["106938-V", "117094-V"]
подморгнуть_VERB	["106938-V", "117094-V"]
мигнуть_VERB	["106938-V", "117094-V"]
подмаргивать_VERB	["106938-V", "117094-V"]
дезертировать_VERB	["111281-V", "117315-V", "111260-V", "647-V", "107318-V", "107592-V"]
пустить::петуха_VERB	["111794-V", "106817-V"]
красного::петуха::пустить_VERB	["111794-V", "106817-V"]
подпалить_VERB	["111794-V", "106817-V"]
поджечь_VERB	["111794-V", "106817-V"]
подпаливать_VERB	["111794-V", "106817-V"]
поджигать_VERB	["111794-V", "106817-V"]
пустить::красного::петуха_VERB	["111794-V", "106817-V"]
пустить::петуха_VERB	["647-V", "107592-V"]
красного::петуха::пустить_VERB	["647-V", "107592-V"]
подпалить_VERB	["647-V", "107592-V"]
поджечь_VERB	["647-V", "107592-V"]
подпаливать_VERB	["647-V", "107592-V"]
поджигать_VERB	["647-V", "107592-V"]
пустить::красного::петуха_VERB	["647-V", "107592-V"]
провозить::контрабандой_VERB	["141275-V", "647-V", "107592-V"]
провезти::контрабандой_VERB	["141275-V", "647-V", "107592-V"]
провозить::контрабандой_VERB	["118776-V", "153186-V"]
провезти::контрабандой_VERB	["118776-V", "153186-V"]
подделываются::купюры_VERB	["106495-V", "112046-V", "111619-V", "112045-V"]
купюры::подделываются_VERB	["106495-V", "112046-V", "111619-V", "112045-V"]
подделываются::купюры_VERB	["647-V", "107592-V"]
купюры::подделываются_VERB	["647-V", "107592-V"]
пиратствовать_VERB	["106495-V", "112046-V", "111619-V", "112045-V"]
пиратствовать_VERB	["122242-V", "5893-V", "111260-V", "647-V", "107592-V"]
пиратствовать_VERB	["106501-V"]
пиратствовать_VERB	["151440-V", "111394-V", "5296-V", "647-V", "4131-V", "113766-V", "107592-V"]
пиратствовать_VERB	["115075-V", "114372-V", "115072-V"]
продать::родину_VERB	["111281-V", "117315-V", "111394-V", "111260-V", "647-V", "107318-V", "107592-V"]
шпионить::на::разведку_VERB	["111260-V", "107592-V", "647-V", "111394-V"]
шпионить::на_VERB	["111260-V", "107592-V", "647-V", "111394-V"]
шпионить_VERB	["111260-V", "107592-V", "647-V", "111394-V"]
шпионить::на::разведку_VERB	["2602-V", "106501-V", "142340-V"]
шпионить::на_VERB	["2602-V", "106501-V", "142340-V"]
шпионить_VERB	["2602-V", "106501-V", "142340-V"]
потребовать::взятку_VERB	["142493-V", "106935-V", "106818-V"]
предлагать::взятку_VERB	["142493-V", "106935-V", "106818-V"]
предложить::взятку_VERB	["142493-V", "106935-V", "106818-V"]
передавать::взятку_VERB	["142493-V", "106935-V", "106818-V"]
дать::на::лапу_VERB	["142493-V", "106935-V", "106818-V"]
принимать::взятку_VERB	["142493-V", "106935-V", "106818-V"]
дать::в::лапу_VERB	["142493-V", "106935-V", "106818-V"]
дать::взятку_VERB	["142493-V", "106935-V", "106818-V"]
подмазать_VERB	["142493-V", "106935-V", "106818-V"]
давать::на::лапу_VERB	["142493-V", "106935-V", "106818-V"]
принять::взятку_VERB	["142493-V", "106935-V", "106818-V"]
давать::в::лапу_VERB	["142493-V", "106935-V", "106818-V"]
давать::взятку_VERB	["142493-V", "106935-V", "106818-V"]
вымогать::взятку_VERB	["142493-V", "106935-V", "106818-V"]
требовать::взятку_VERB	["142493-V", "106935-V", "106818-V"]
всучить::взятку_VERB	["142493-V", "106935-V", "106818-V"]
подмазывать_VERB	["142493-V", "106935-V", "106818-V"]
брать::взятки_VERB	["142493-V", "106935-V", "106818-V"]
получать::взятку_VERB	["142493-V", "106935-V", "106818-V"]
получить::взятку_VERB	["142493-V", "106935-V", "106818-V"]
потребовать::взятку_VERB	["660-V", "647-V", "107592-V"]
предлагать::взятку_VERB	["660-V", "647-V", "107592-V"]
предложить::взятку_VERB	["660-V", "647-V", "107592-V"]
передавать::взятку_VERB	["660-V", "647-V", "107592-V"]
дать::на::лапу_VERB	["660-V", "647-V", "107592-V"]
принимать::взятку_VERB	["660-V", "647-V", "107592-V"]
дать::в::лапу_VERB	["660-V", "647-V", "107592-V"]
дать::взятку_VERB	["660-V", "647-V", "107592-V"]
подмазать_VERB	["660-V", "647-V", "107592-V"]
давать::на::лапу_VERB	["660-V", "647-V", "107592-V"]
принять::взятку_VERB	["660-V", "647-V", "107592-V"]
давать::в::лапу_VERB	["660-V", "647-V", "107592-V"]
давать::взятку_VERB	["660-V", "647-V", "107592-V"]
вымогать::взятку_VERB	["660-V", "647-V", "107592-V"]
требовать::взятку_VERB	["660-V", "647-V", "107592-V"]
всучить::взятку_VERB	["660-V", "647-V", "107592-V"]
подмазывать_VERB	["660-V", "647-V", "107592-V"]
брать::взятки_VERB	["660-V", "647-V", "107592-V"]
получать::взятку_VERB	["660-V", "647-V", "107592-V"]
получить::взятку_VERB	["660-V", "647-V", "107592-V"]
потребовать::взятку_VERB	["116296-V", "116303-V"]
предлагать::взятку_VERB	["116296-V", "116303-V"]
предложить::взятку_VERB	["116296-V", "116303-V"]
передавать::взятку_VERB	["116296-V", "116303-V"]
дать::на::лапу_VERB	["116296-V", "116303-V"]
принимать::взятку_VERB	["116296-V", "116303-V"]
дать::в::лапу_VERB	["116296-V", "116303-V"]
дать::взятку_VERB	["116296-V", "116303-V"]
подмазать_VERB	["116296-V", "116303-V"]
давать::на::лапу_VERB	["116296-V", "116303-V"]
принять::взятку_VERB	["116296-V", "116303-V"]
давать::в::лапу_VERB	["116296-V", "116303-V"]
давать::взятку_VERB	["116296-V", "116303-V"]
вымогать::взятку_VERB	["116296-V", "116303-V"]
требовать::взятку_VERB	["116296-V", "116303-V"]
всучить::взятку_VERB	["116296-V", "116303-V"]
подмазывать_VERB	["116296-V", "116303-V"]
брать::взятки_VERB	["116296-V", "116303-V"]
получать::взятку_VERB	["116296-V", "116303-V"]
получить::взятку_VERB	["116296-V", "116303-V"]
бежать::из::зоны_VERB	["106803-V", "117918-V", "120826-V"]
сбежать::из::зоны_VERB	["106803-V", "117918-V", "120826-V"]
сбежать::из-под::стражи_VERB	["106803-V", "117918-V", "120826-V"]
сбежать::из::тюрьмы_VERB	["106803-V", "117918-V", "120826-V"]
бежать::из-под::стражи_VERB	["106803-V", "117918-V", "120826-V"]
бежать::из::тюрьмы_VERB	["106803-V", "117918-V", "120826-V"]
бежать::из::зоны_VERB	["647-V", "107592-V"]
сбежать::из::зоны_VERB	["647-V", "107592-V"]
сбежать::из-под::стражи_VERB	["647-V", "107592-V"]
сбежать::из::тюрьмы_VERB	["647-V", "107592-V"]
бежать::из-под::стражи_VERB	["647-V", "107592-V"]
бежать::из::тюрьмы_VERB	["647-V", "107592-V"]
покрывать::преступление_VERB	["647-V", "107592-V"]
покрывать::преступника_VERB	["647-V", "107592-V"]
покрывать::преступление_VERB	["138341-V", "106595-V", "118765-V", "152834-V", "154670-V"]
покрывать::преступника_VERB	["138341-V", "106595-V", "118765-V", "152834-V", "154670-V"]
подделываются::документы_VERB	["106495-V", "112046-V", "111619-V", "112045-V"]
подделать::документы_VERB	["106495-V", "112046-V", "111619-V", "112045-V"]
подделываются::документы_VERB	["647-V", "107592-V"]
подделать::документы_VERB	["647-V", "107592-V"]
построить::без::разрешения_VERB	["106504-V", "134709-V"]
самовольно::застраивать_VERB	["106504-V", "134709-V"]
самовольно::построить_VERB	["106504-V", "134709-V"]
незаконно::построить_VERB	["106504-V", "134709-V"]
незаконно::застроить_VERB	["106504-V", "134709-V"]
самовольно::строить_VERB	["106504-V", "134709-V"]
незаконно::застраивать_VERB	["106504-V", "134709-V"]
строить::без::разрешения_VERB	["106504-V", "134709-V"]
самовольно::застроить_VERB	["106504-V", "134709-V"]
незаконно::строить_VERB	["106504-V", "134709-V"]
построить::без::разрешения_VERB	["106493-V", "145768-V"]
самовольно::застраивать_VERB	["106493-V", "145768-V"]
самовольно::построить_VERB	["106493-V", "145768-V"]
незаконно::построить_VERB	["106493-V", "145768-V"]
незаконно::застроить_VERB	["106493-V", "145768-V"]
самовольно::строить_VERB	["106493-V", "145768-V"]
незаконно::застраивать_VERB	["106493-V", "145768-V"]
строить::без::разрешения_VERB	["106493-V", "145768-V"]
самовольно::застроить_VERB	["106493-V", "145768-V"]
незаконно::строить_VERB	["106493-V", "145768-V"]
построить::без::разрешения_VERB	["647-V", "107592-V"]
самовольно::застраивать_VERB	["647-V", "107592-V"]
самовольно::построить_VERB	["647-V", "107592-V"]
незаконно::построить_VERB	["647-V", "107592-V"]
незаконно::застроить_VERB	["647-V", "107592-V"]
самовольно::строить_VERB	["647-V", "107592-V"]
незаконно::застраивать_VERB	["647-V", "107592-V"]
строить::без::разрешения_VERB	["647-V", "107592-V"]
самовольно::застроить_VERB	["647-V", "107592-V"]
незаконно::строить_VERB	["647-V", "107592-V"]
незаконно::получить::сведения_VERB	["118698-V", "122242-V", "647-V", "107592-V"]
получать::информацию::незаконно_VERB	["118698-V", "122242-V", "647-V", "107592-V"]
получать::сведения::незаконно_VERB	["118698-V", "122242-V", "647-V", "107592-V"]
получить::информацию::незаконно_VERB	["118698-V", "122242-V", "647-V", "107592-V"]
незаконно::получать::сведения_VERB	["118698-V", "122242-V", "647-V", "107592-V"]
незаконно::получить::информацию_VERB	["118698-V", "122242-V", "647-V", "107592-V"]
незаконно::получать::информацию_VERB	["118698-V", "122242-V", "647-V", "107592-V"]
получить::сведения::незаконно_VERB	["118698-V", "122242-V", "647-V", "107592-V"]
незаконно::получить::сведения_VERB	["106709-V", "142340-V", "112077-V"]
получать::информацию::незаконно_VERB	["106709-V", "142340-V", "112077-V"]
получать::сведения::незаконно_VERB	["106709-V", "142340-V", "112077-V"]
получить::информацию::незаконно_VERB	["106709-V", "142340-V", "112077-V"]
незаконно::получать::сведения_VERB	["106709-V", "142340-V", "112077-V"]
незаконно::получить::информацию_VERB	["106709-V", "142340-V", "112077-V"]
незаконно::получать::информацию_VERB	["106709-V", "142340-V", "112077-V"]
получить::сведения::незаконно_VERB	["106709-V", "142340-V", "112077-V"]
незаконно::получить::сведения_VERB	["107696-V"]
получать::информацию::незаконно_VERB	["107696-V"]
получать::сведения::незаконно_VERB	["107696-V"]
получить::информацию::незаконно_VERB	["107696-V"]
незаконно::получать::сведения_VERB	["107696-V"]
незаконно::получить::информацию_VERB	["107696-V"]
незаконно::получать::информацию_VERB	["107696-V"]
получить::сведения::незаконно_VERB	["107696-V"]
прогулять::деньги_VERB	["117605-V", "117589-V", "117172-V"]
прогуливать_VERB	["117605-V", "117589-V", "117172-V"]
прокутить_VERB	["117605-V", "117589-V", "117172-V"]
прогулять_VERB	["117605-V", "117589-V", "117172-V"]
прокутить::деньги_VERB	["117605-V", "117589-V", "117172-V"]
закруглить_VERB	["106558-V", "123558-V"]
закруглять_VERB	["106558-V", "123558-V"]
скруглить_VERB	["106558-V", "123558-V"]
выслать::иностранцев_VERB	["137167-V", "112548-V", "111260-V", "112933-V", "106504-V", "115247-V"]
выдворить::из::страны_VERB	["137167-V", "112548-V", "111260-V", "112933-V", "106504-V", "115247-V"]
высылать::из::страны_VERB	["137167-V", "112548-V", "111260-V", "112933-V", "106504-V", "115247-V"]
депортировать::на::родину_VERB	["137167-V", "112548-V", "111260-V", "112933-V", "106504-V", "115247-V"]
выслать::из::страны_VERB	["137167-V", "112548-V", "111260-V", "112933-V", "106504-V", "115247-V"]
выдворять::из::страны_VERB	["137167-V", "112548-V", "111260-V", "112933-V", "106504-V", "115247-V"]
депортировать_VERB	["137167-V", "112548-V", "111260-V", "112933-V", "106504-V", "115247-V"]
выдворить::за::пределы::страны_VERB	["137167-V", "112548-V", "111260-V", "112933-V", "106504-V", "115247-V"]
барражировать_VERB	["106597-V", "3977-V", "118780-V"]
обличать_VERB	["120088-V", "120087-V"]
сорвать::маску_VERB	["120088-V", "120087-V"]
обличить_VERB	["120088-V", "120087-V"]
сорвать::покровы_VERB	["120088-V", "120087-V"]
обличать_VERB	["106877-V", "112963-V"]
сорвать::маску_VERB	["106877-V", "112963-V"]
обличить_VERB	["106877-V", "112963-V"]
сорвать::покровы_VERB	["106877-V", "112963-V"]
выдавать_VERB	["111260-V", "111281-V", "117315-V", "107318-V"]
закладывать_VERB	["111260-V", "111281-V", "117315-V", "107318-V"]
выдать_VERB	["111260-V", "111281-V", "117315-V", "107318-V"]
заложить_VERB	["111260-V", "111281-V", "117315-V", "107318-V"]
выдавать_VERB	["120088-V", "120087-V"]
закладывать_VERB	["120088-V", "120087-V"]
выдать_VERB	["120088-V", "120087-V"]
заложить_VERB	["120088-V", "120087-V"]
развестись::с::женой_VERB	["149129-V", "145354-V", "114690-V", "106484-V", "149403-V", "106531-V"]
развестись_VERB	["149129-V", "145354-V", "114690-V", "106484-V", "149403-V", "106531-V"]
разводиться_VERB	["149129-V", "145354-V", "114690-V", "106484-V", "149403-V", "106531-V"]
развестись::с::супругом_VERB	["149129-V", "145354-V", "114690-V", "106484-V", "149403-V", "106531-V"]
разводиться::с::супругом_VERB	["149129-V", "145354-V", "114690-V", "106484-V", "149403-V", "106531-V"]
развестись::со::своим::супругом_VERB	["149129-V", "145354-V", "114690-V", "106484-V", "149403-V", "106531-V"]
развестись::с::мужем_VERB	["149129-V", "145354-V", "114690-V", "106484-V", "149403-V", "106531-V"]
развестись::с::женой_VERB	["106504-V", "118698-V"]
развестись_VERB	["106504-V", "118698-V"]
разводиться_VERB	["106504-V", "118698-V"]
развестись::с::супругом_VERB	["106504-V", "118698-V"]
разводиться::с::супругом_VERB	["106504-V", "118698-V"]
развестись::со::своим::супругом_VERB	["106504-V", "118698-V"]
развестись::с::мужем_VERB	["106504-V", "118698-V"]
отполировать_VERB	["106631-V", "111769-V", "111782-V", "111785-V", "106534-V", "146751-V"]
наполировать_VERB	["106631-V", "111769-V", "111782-V", "111785-V", "106534-V", "146751-V"]
полировать_VERB	["106631-V", "111769-V", "111782-V", "111785-V", "106534-V", "146751-V"]
аннексировать_VERB	["122242-V", "111668-V", "118698-V", "114372-V", "115075-V", "115072-V"]
аннексировать_VERB	["113962-V", "116663-V"]
аннексировать_VERB	["148420-V", "118966-V", "107328-V"]
расслышать_VERB	["111591-V", "106710-V"]
отсканировать_VERB	["111591-V", "106710-V"]
сканировать_VERB	["111591-V", "106710-V"]
отсканировать_VERB	["106501-V"]
сканировать_VERB	["106501-V"]
отсканировать_VERB	["150388-V"]
сканировать_VERB	["150388-V"]
переоценивать::свои::возможности_VERB	["106710-V", "151498-V", "106877-V", "116115-V", "139096-V", "115033-V"]
переоценить::свои::возможности_VERB	["106710-V", "151498-V", "106877-V", "116115-V", "139096-V", "115033-V"]
переоценить::себя_VERB	["106710-V", "151498-V", "106877-V", "116115-V", "139096-V", "115033-V"]
переоценивать::себя_VERB	["106710-V", "151498-V", "106877-V", "116115-V", "139096-V", "115033-V"]
переоценивать::свои::возможности_VERB	["106504-V", "113119-V"]
переоценить::свои::возможности_VERB	["106504-V", "113119-V"]
переоценить::себя_VERB	["106504-V", "113119-V"]
переоценивать::себя_VERB	["106504-V", "113119-V"]
переоценивать::свои::возможности_VERB	["134714-V", "118574-V"]
переоценить::свои::возможности_VERB	["134714-V", "118574-V"]
переоценить::себя_VERB	["134714-V", "118574-V"]
переоценивать::себя_VERB	["134714-V", "118574-V"]
вскрыться_VERB	["119282-V", "121544-V"]
вскрываться_VERB	["119282-V", "121544-V"]
переоборудовать_VERB	["112144-V", "106699-V", "120969-V", "107602-V", "112630-V", "106601-V", "139346-V"]
шокировать_VERB	["118522-V", "120293-V", "149898-V", "129710-V", "110475-V", "117302-V", "125744-V"]
повергать::в::шок_VERB	["118522-V", "120293-V", "149898-V", "129710-V", "110475-V", "117302-V", "125744-V"]
повергнуть::в::шок_VERB	["118522-V", "120293-V", "149898-V", "129710-V", "110475-V", "117302-V", "125744-V"]
обирать_VERB	["111998-V", "120231-V"]
обобрать_VERB	["111998-V", "120231-V"]
культивировать_VERB	["131211-V", "125640-V", "125642-V"]
насадить_VERB	["131211-V", "125640-V", "125642-V"]
насильственно::насаждать_VERB	["131211-V", "125640-V", "125642-V"]
насаждать_VERB	["131211-V", "125640-V", "125642-V"]
культивировать_VERB	["106473-V", "106817-V", "119127-V"]
насадить_VERB	["106473-V", "106817-V", "119127-V"]
насильственно::насаждать_VERB	["106473-V", "106817-V", "119127-V"]
насаждать_VERB	["106473-V", "106817-V", "119127-V"]
напичкать_VERB	["106811-V", "118860-V", "111862-V"]
пичкать_VERB	["106811-V", "118860-V", "111862-V"]
пичкать::едой_VERB	["106811-V", "118860-V", "111862-V"]
напичкать_VERB	["115186-V", "106548-V"]
пичкать_VERB	["115186-V", "106548-V"]
пичкать::едой_VERB	["115186-V", "106548-V"]
напичкать_VERB	["106473-V", "106817-V"]
пичкать_VERB	["106473-V", "106817-V"]
пичкать::едой_VERB	["106473-V", "106817-V"]
нашинковывать_VERB	["107410-V", "111775-V", "107412-V"]
насечь_VERB	["107410-V", "111775-V", "107412-V"]
шинковать_VERB	["107410-V", "111775-V", "107412-V"]
нашинковать_VERB	["107410-V", "111775-V", "107412-V"]
насекать_VERB	["107410-V", "111775-V", "107412-V"]
перерезывать_VERB	["107410-V", "107409-V", "107412-V"]
перерезать_VERB	["107410-V", "107409-V", "107412-V"]
прорезываться_VERB	["107410-V", "107412-V"]
прорезать::отверстие_VERB	["107410-V", "107412-V"]
